product,total_qty,revenue
ClearOne CHATAttach 160 - speaker phone,13,6695.892000000001
Standard Rollaway File with Lock,40,6594.954000000001
Hon Multipurpose Stacking Arm Chairs,36,6584.639999999999
"Dual Level, Single-Width Filing Carts",43,6574.544000000001
Balt Solid Wood Round Tables,19,6518.754
Hon Pagoda Stacking Chairs,22,6483.796
"Global Leather and Oak Executive Chair, Black",26,6410.874000000001
Sharp AL-1530CS Digital Copier,17,6399.871999999999
Polycom VVX 310 VoIP phone,40,6227.654
Samsung Galaxy S4,13,6134.701999999999
Samsung Galaxy S4 Mini,15,6109.870000000001
Global Comet Stacking Arm Chair,17,6084.143999999999
Global Ergonomic Managers Chair,39,6008.535999999999
Canon PC1080F Personal Copier,11,5999.9
"Global Leather Highback Executive Chair with Pneumatic Height Adjustment, Black",39,5989.203999999998
Hon 5100 Series Wood Tables,26,5965.09
"Sanyo Counter Height Refrigerator with Crisper, 3.6 Cubic Foot, Stainless Steel/Black",18,5906.5199999999995
Hon 4070 Series Pagoda Round Back Stacking Chairs,21,5906.032
Global Leather Executive Chair,21,5861.533
"Office Impressions End Table, 20-1/2""H x 24""W x 20""D",23,5801.815999999999
Zebra GX420t Direct Thermal/Thermal Transfer Printer,14,5787.3550000000005
Iceberg Mobile Mega Data/Printer Cart ,49,5751.774
Safco Contoured Stacking Chairs,27,5697.759999999999
Canon PC940 Copier,15,5669.874
Bretford “Just In Time” Height-Adjustable Multi-Task Work Tables,17,5634.9
Logitech Z-906 Speaker sys - home theater - 5.1-CH,17,5609.83
Deluxe Rollaway Locking File with Drawer,14,5572.7919999999995
"Atlantic Metals Mobile 5-Shelf Bookcases, Custom Colors",26,5492.885
"Global High-Back Leather Tilter, Burgundy",54,5436.158
Hon Olson Stacker Chairs,22,5427.99
Ibico Hi-Tech Manual Binding System,34,5398.323
Wilson SignalBoost 841262 DB PRO Amplifier Kit,17,5327.26
Hon Olson Stacker Stools,44,5294.456
GE 30524EE4,32,5291.730000000001
Hon 2090 “Pillow Soft” Series Mid Back Swivel/Tilt Chairs,24,5282.424000000001
"Lifetime Advantage Folding Chairs, 4/Carton",27,5212.112
"Atlantic Metals Mobile 4-Shelf Bookcases, Custom Colors",27,5184.081
Razer Tiamat Over Ear 7.1 Surround Sound PC Gaming Headset,26,5119.744000000001
"Chromcraft 48"" x 96"" Racetrack Double Pedestal Table",22,5098.1759999999995
Hoover Shoulder Vac Commercial Portable Vacuum,16,5009.48
Panasonic KX-TG9471B,27,4978.146000000001
Chromcraft Rectangular Conference Tables,30,4952.673000000001
Apple iPhone 5S,11,4901.914
O'Sullivan 2-Door Barrister Bookcase in Odessa Pine,31,4886.46
Brother DCP1000 Digital 3 in 1 Multifunction Machine,19,4859.838000000001
Fellowes Staxonsteel Drawer Files,26,4829.250000000001
Smead Adjustable Mobile File Trolley with Lockable Top,12,4778.766
High-Back Leather Manager's Chair,42,4770.633000000001
SAFCO Boltless Steel Shelving,46,4704.696000000001
Global Executive Mid-Back Manager's Chair,18,4626.582
DMI Arturo Collection Mission-style Design Wood Chair,37,4619.988
Polycom CX600 IP Phone VoIP phone,17,4619.23
Letter Size Cart,33,4600.092000000001
KI Adjustable-Height Table,74,4552.641
"Bevis Round Bullnose 29"" High Table Top",24,4544.924999999999
Fellowes Officeware Wire Shelving,55,4509.466
Samsung Galaxy Note 2,14,4507.902
"Fellowes Strictly Business Drawer File, Letter/Legal Size",33,4479.03
Sanyo 2.5 Cubic Foot Mid-Size Office Refrigerators,17,4476.96
"Riverside Furniture Oval Coffee Table, Oval End Table, End Table with Drawer",25,4446.175000000001
Nortel Meridian M3904 Professional Digital phone,32,4434.912
Global Commerce Series Low-Back Swivel/Tilt Chairs,24,4420.0560000000005
Sharp 1540cs Digital Laser Copier,10,4399.92
Logitech G19 Programmable Gaming Keyboard,36,4389.245999999999
"Tennsco Stur-D-Stor Boltless Shelving, 5 Shelves, 24"" Deep, Sand",33,4384.044
"Hon Practical Foundations 30 x 60 Training Table, Light Gray/Charcoal",22,4334.8275
Bevis 36 x 72 Conference Tables,40,4332.2519999999995
GBC DocuBind TL200 Manual Binding Machine,23,4322.814
"Chromcraft Bull-Nose Wood 48"" x 96"" Rectangular Conference Tables",11,4297.644
Cisco 9971 IP Video Phone Charcoal,16,4268.0
Motorola L703CM,32,4211.7300000000005
GBC DocuBind 200 Manual Binding Machine,15,4209.8
Hewlett Packard 310 Color Digital Copier,16,4199.860000000001
"SAFCO Commercial Wire Shelving, Black",35,4199.456
Office Star - Mid Back Dual function Ergonomic High Back Chair with 2-Way Adjustable Arms,31,4185.48
Fellowes PB200 Plastic Comb Binding Machine,38,4181.754000000001
Cisco SPA301,30,4180.532
"Global Wood Trimmed Manager's Task Chair, Khaki",59,4166.884
Canon PC-428 Personal Copier,25,4119.794
Wireless Extenders zBoost YX545 SOHO Signal Booster,24,4044.3860000000004
Fellowes Super Stor/Drawer Files,27,4006.44
Samsung Galaxy S4 Active,8,3999.92
WD My Passport Ultra 2TB Portable External Hard Drive,35,3998.4
Canon imageCLASS MF7460 Monochrome Digital Laser Multifunction Copier,2,3991.98
Office Star - Contemporary Swivel Chair with Padded Adjustable Arms and Flex Back,32,3989.7340000000004
Polycom SoundStation2 EX Conference phone,12,3968.51
Hon Racetrack Conference Tables,22,3963.901
Canon Image Class D660 Copier,7,3959.9339999999997
"Global Airflow Leather Mesh Back Chair, Black",32,3955.676
Fellowes High-Stak Drawer Files,26,3946.656
Luxo Professional Fluorescent Magnifier Lamp with Clamp-Mount Base,23,3861.056
Honeywell Enviracaire Portable HEPA Air Cleaner for 16' x 20' Room,14,3855.1800000000003
Polycom SoundPoint IP 450 VoIP phone,22,3839.62
Google Nexus 5,23,3815.7880000000005
Hon Non-Folding Utility Tables,29,3775.647
Logitech VX Revolution Cordless Laser Mouse for Notebooks (Black),22,3743.7920000000004
"SAFCO PlanMaster Heigh-Adjustable Drafting Table Base, 43w x 30d x 30-37h, Black",14,3739.1150000000002
Aastra 57i VoIP phone,26,3684.7080000000005
"Office Star - Contemporary Task Swivel chair with Loop Arms, Charcoal",35,3680.538
Polycom VoiceStation 500 Conference phone,15,3657.38
"Situations Contoured Folding Chairs, 4/Set",64,3641.2740000000003
"Bush Heritage Pine Collection 5-Shelf Bookcase, Albany Pine Finish, *Special Order",34,3626.0056
Toshiba IPT2010-SD IP Telephone,31,3613.7400000000002
"Bush Cubix Conference Tables, Fully Assembled",19,3603.288
Pyle PMP37LED,43,3590.0259999999994
Global Adaptabilities Conference Tables,14,3540.3480000000004
"24 Capacity Maxi Data Binder Racks, Pearl",19,3537.2400000000007
Global Comet Stacking Armless Chair,14,3528.790000000001
Avanti 4.4 Cu. Ft. Refrigerator,24,3511.012
Hon Rectangular Conference Tables,20,3481.5150000000003
"Iceberg OfficeWorks 42"" Round Tables",30,3457.4419999999996
"Global Adaptabilites Bookcase, Cherry/Storm Gray Finish",8,3447.84
O'Sullivan Living Dimensions 5-Shelf Bookcases,21,3420.7704000000003
Geemarc AmpliPOWER60,46,3415.0399999999995
Hewlett-Packard Desktjet 6988DT Refurbished Printer,5,3404.5
Bush Advantage Collection Round Conference Table,19,3401.5999999999995
Fellowes Stor/Drawer Steel Plus Storage Drawers,37,3397.308
"Chromcraft Bull-Nose Wood Round Conference Table Top, Wood Base",18,3354.8900000000003
"Dot Matrix Printer Tape Reel Labels, White, 5000/Box",36,3322.8780000000006
"Bush Andora Bookcase, Maple/Graphite Gray Finish",34,3317.7234999999996
Tenex Antistatic Computer Chair Mats,25,3317.0119999999997
Bevis 44 x 96 Conference Tables,20,3253.2200000000003
Ibico EB-19 Dual Function Manual Binding System,23,3234.9130000000005
GBC ProClick 150 Presentation Binding System,22,3222.996
Okidata C331dn Printer,12,3210.7999999999997
Office Impressions Heavy Duty Welded Shelving & Multimedia Storage Drawers,20,3178.1300000000006
Jabra SPEAK 410,37,3158.0639999999994
"Global Fabric Manager's Chair, Dark Gray",35,3150.576
Hon 2111 Invitation Series Corner Table,18,3140.55
Economy Rollaway Files,20,3138.8
BlackBerry Q10,27,3099.354
Panasonic KX-TG9541B DECT 6.0 Digital 2-Line Expandable Cordless Phone With Digital Answering System,25,3059.7960000000003
Hoover WindTunnel Plus Canister Vacuum,9,3051.3
Digium D40 VoIP phone,27,3044.164
Hewlett-Packard Deskjet 3050a All-in-One Color Inkjet Printer,8,3040.0
"Acco 7-Outlet Masterpiece Power Center, Wihtout Fax/Phone Line Protection",31,3039.4999999999995
Space Solutions HD Industrial Steel Shelving.,27,3035.2079999999996
Carina Double Wide Media Storage Towers in Natural & Black,39,3028.6520000000005
Compact Automatic Electric Letter Opener,26,2982.75
"SAFCO PlanMaster Boards, 60w x 37-1/2d, White Melamine",26,2979.004000000001
O'Sullivan Living Dimensions 2-Shelf Bookcases,28,2970.059
"Global Manager's Adjustable Task Chair, Storm",23,2959.208
GBC DocuBind P100 Manual Binding Machine,27,2954.4440000000004
O'Sullivan Plantations 2-Door Library in Landvery Oak,22,2946.3668
3.6 Cubic Foot Counter Height Office Refrigerator,18,2946.2
Aastra 6757i CT Wireless VoIP phone,16,2929.984
Novimex Swivel Fabric Task Chair,25,2913.9139999999998
ShoreTel ShorePhone IP 230 VoIP phone,21,2906.628
O'Sullivan Living Dimensions 3-Shelf Bookcases,17,2904.1609999999996
Kensington 7 Outlet MasterPiece Power Center,21,2883.276
Logitech Wireless Gaming Headset G930,21,2879.8200000000006
Bose SoundLink Bluetooth Speaker,18,2865.6
"Electrix Architect's Clamp-On Swing Arm Lamp, Black",33,2863.8
"Lesro Round Back Collection Coffee Table, End Table",20,2847.7799999999997
Okidata MB491 Multifunction Printer,9,2844.3
Premier Automatic Letter Opener,14,2836.3660000000004
Logitech Wireless Headset h800,32,2799.7200000000003
Xerox 1915,28,2789.0099999999993
Electrix Halogen Magnifier Lamp,17,2759.0600000000004
Maxell iVDR EX 500GB Cartridge,10,2755.4000000000005
VTech DS6151,25,2746.582
Nortel Meridian M5316 Digital phone,13,2744.87
O'Sullivan 4-Shelf Bookcase in Odessa Pine,37,2740.197
"Carina Mini System Audio Rack, Model AR050B",26,2730.108
"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",14,2706.08
Hon Mobius Operator's Chair,23,2705.7799999999993
"GE 48"" Fluorescent Tube, Cool White Energy Saver, 34 Watts, 30/Box",29,2699.0560000000005
"Bevis Round Conference Table Top, X-Base",20,2671.421
Imation Bio 8GB USB Flash Drive Imation Corp,16,2659.84
Global Highback Leather Tilter in Burgundy,34,2647.8089999999993
Cisco 8x8 Inc. 6753i IP Business Phone System,26,2645.8040000000005
Premier Electric Letter Opener,24,2641.6079999999997
Vtech CS6719,32,2630.1259999999997
NETGEAR AC1750 Dual Band Gigabit Smart WiFi Router,18,2623.8360000000002
Razer Kraken 7.1 Surround Sound Over Ear USB Gaming Headset,29,2619.738
Fellowes Bankers Box Staxonsteel Drawer File/Stacking System,43,2612.196
Motorola Droid Maxx,21,2609.826
Hon Deluxe Fabric Upholstered Stacking Chairs,15,2586.1879999999996
"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",23,2552.54
Bevis Boat-Shaped Conference Table,15,2542.467
Fellowes Powershred HS-440 4-Sheet High Security Shredder,17,2541.8360000000002
Xerox WorkCentre 6505DN Laser Multifunction Printer,7,2519.9579999999996
Safco Industrial Wire Shelving System,30,2511.0480000000002
Plantronics Calisto P620-M USB Wireless Speakerphone System,14,2508.6720000000005
Easy-staple paper,150,2504.1920000000005
Kensington 7 Outlet MasterPiece HOMEOFFICE Power Control Center,21,2491.2799999999997
Kensington 4 Outlet MasterPiece Compact Power Control Center,36,2488.392
"Rush Hierlooms Collection 1"" Thick Stackable Bookcases",15,2487.759
Sensible Storage WireTech Storage Systems,38,2484.3
Wi-Ex zBoost YX540 Cellular Phone Signal Booster,19,2481.1499999999996
Enermax Acrylux Wireless Keyboard,29,2450.16
Panasonic KX MB2061 Multifunction Printer,10,2396.4
Global Super Steno Chair,30,2389.9020000000005
Harbour Creations Steel Folding Chair,34,2389.125
Logitech Gaming G510s - Keyboard,31,2362.722
Swingline SM12-08 MicroCut Jam Free Shredder,13,2359.9410000000003
"3D Systems Cube Printer, 2nd Generation, White",3,2339.982
Logitech G700s Rechargeable Gaming Mouse,25,2339.766
StarTech.com 10/100 VDSL2 Ethernet Extender Kit,13,2330.6499999999996
"Fellowes Mobile File Cart, Black",40,2300.66
"Gould Plastics 18-Pocket Panel Bin, 34w x 5-1/4d x 20-1/2h",28,2299.75
"Lesro Sheffield Collection Coffee Table, End Table, Center Table, Corner Table",39,2298.114
Bevis Round Conference Table Top & Single Column Base,19,2297.538
Xiaomi Mi3,4,2279.96
"Tenex 46"" x 60"" Computer Anti-Static Chairmat, Rectangular Shaped",25,2267.9719999999998
GBC DocuBind P50 Personal Binding Machine,50,2264.892
Cisco IP Phone 7961G-GE VoIP phone,15,2252.4320000000002
Plantronics S12 Corded Telephone Headset System,23,2242.032
BPI Conference Tables,26,2241.8675000000003
Plantronics HL10 Handset Lifter,24,2227.008
Konftel 250 Conference phone - Charcoal black,9,2221.596
Avanti 1.7 Cu. Ft. Refrigerator,24,2221.56
Office Star - Ergonomic Mid Back Chair with 2-Way Adjustable Arms,13,2207.956
"Global Value Steno Chair, Gray",43,2204.862
Office Star - Mesh Screen back chair with Vinyl seat,20,2200.464
"3M Polarizing Task Lamp with Clamp Arm, Light Gray",16,2191.68
"Global Push Button Manager's Chair, Indigo",44,2185.9510000000005
Jabra Supreme Plus Driver Edition Headset,22,2159.82
Razer Kraken PRO Over Ear PC and Music Headset,30,2159.73
Logitech G35 7.1-Channel Surround Sound Headset,17,2157.8340000000003
Samsung Galaxy Note 3,13,2155.902
Sauder Inglewood Library Bookcases,14,2154.348
KI Conference Tables,44,2140.878
Mitel 5320 IP Phone VoIP phone,14,2116.688
Imation Bio 2GB USB Flash Drive Imation Corp,16,2098.88
Laminate Occasional Tables,18,2096.168
"Rubbermaid ClusterMat Chairmats, Mat Size- 66"" x 60"", Lip 20"" x 11"" -90 Degree Angle",24,2064.228
Cisco SPA 502G IP Phone,21,2063.1400000000003
"Tenex Chairmat w/ Average Lip, 45"" x 53""",19,2058.496
HTC One Mini,19,2041.038
Hon 2111 Invitation Series Straight Table,18,2040.0540000000003
"Bevis Traditional Conference Table Top, Plinth Base",9,2033.496
Global Enterprise Series Seating High-Back Swivel/Tilt Chairs,10,2032.3500000000001
Jawbone MINI JAMBOX Wireless Bluetooth Speaker,18,2027.3039999999999
Jawbone JAMBOX Wireless Bluetooth Speaker,14,2022.2720000000002
Jabra SPEAK 410 Multidevice Speakerphone,13,2018.7020000000002
Ooma Telo VoIP Home Phone System,18,2015.8400000000001
Okidata C610n Printer,5,2011.8999999999999
Logitech G602 Wireless Gaming Mouse,29,1999.75
Adtran 1202752G1,18,1990.642
"Ativa D5772 2-Line 5.8GHz Digital Expandable Corded/Cordless Phone System with Answering & Caller ID/Call Waiting, Black/Silver",12,1979.88
"Global Value Mid-Back Manager's Chair, Gray",39,1978.9250000000002
Space Solutions Commercial Steel Shelving,33,1952.43
Office Star Flex Back Scooter Chair with Aluminum Finish Frame,20,1947.177
Harmony Air Purifier,13,1946.6999999999998
AT&T 1080 Corded phone,18,1945.258
AT&T CL83451 4-Handset Telephone,10,1936.306
Imation Secure+ Hardware Encrypted USB 2.0 Flash Drive; 16GB,32,1926.936
Logitech Mobile Speakerphone P710e - speaker phone,17,1916.716
Plantronics Audio 995 Wireless Stereo Headset,18,1913.13
"O'Sullivan Elevations Bookcase, Cherry Finish",18,1912.308
"Sauder Camden County Collection Libraries, Planked Cherry Finish",19,1909.8178000000003
Polycom SoundPoint Pro SE-225 Corded phone,19,1903.84
Bestar Classic Bookcase,31,1897.8101999999997
Novimex Fabric Task Chair,39,1890.3799999999999
NETGEAR N750 Dual Band Wi-Fi Gigabit Router,22,1890.0
Multicolor Computer Printout Paper,19,1887.2999999999997
Nortel Networks T7316 E Nt8 B27,29,1876.524
"Sauder Forest Hills Library, Woodland Oak Finish",15,1875.034
"Recycled Data-Pak for Archival Bound Computer Printouts, 12-1/2 x 12-1/2 x 16",20,1857.2520000000002
Office Star - Contemporary Task Swivel Chair,20,1842.268
"Padded Folding Chairs, Black, 4/Carton",30,1830.1480000000004
LG G3,10,1803.1080000000002
Logitech Wireless Performance Mouse MX for PC and Mac,21,1799.82
Xerox 189,19,1782.4499999999998
Belkin 5 Outlet SurgeMaster Power Centers,40,1776.0479999999998
Office Star Flex Back Scooter Chair with White Frame,21,1775.6800000000003
Bevis Steel Folding Chairs,24,1775.075
GE 2-Jack Phone Line Splitter,11,1771.5140000000001
Global Deluxe Steno Chair,29,1770.54
Tennsco Regal Shelving Units,18,1764.534
Honeywell Quietcare HEPA Air Cleaner,23,1761.7600000000002
"Global Geo Office Task Chair, Gray",25,1757.266
Global Low Back Tilter Chair,21,1746.9540000000002
Xerox 1941,19,1740.5099999999998
AT&T TR1909W,15,1738.662
Jabra BIZ 2300 Duo QD Duo Corded Headset,17,1727.064
First Data FD10 PIN Pad,24,1722.2
Xerox 1908,32,1712.9879999999998
"Sauder Facets Collection Locker/File Cabinet, Sky Alder Finish",5,1706.5080000000003
BoxOffice By Design Rectangular and Half-Moon Meeting Room Tables,15,1706.25
Kensington Orbit Wireless Mobile Trackball for PC and Mac,33,1703.7160000000001
Xerox 1945,45,1696.986
Kensington Expert Mouse Optical USB Trackball for PC or Mac,20,1690.8220000000001
"Global Leather & Oak Executive Chair, Burgundy",13,1689.9679999999998
Hon Comfortask Task/Swivel Chairs,18,1686.9040000000002
Staple envelope,170,1686.812
Deflect-o DuraMat Antistatic Studded Beveled Mat for Medium Pile Carpeting,18,1685.44
ClearOne Communications CHAT 70 OC Speaker Phone,12,1685.294
Polycom CX300 Desktop Phone USB VoIP phone,15,1679.888
"Eureka The Boss Plus 12-Amp Hard Box Upright Vacuum, Red",20,1674.4
Panasonic KX TS3282W Corded phone,25,1665.804
O'Sullivan Manor Hill 2-Door Library in Brianna Oak,12,1646.9180000000001
Enermax Aurora Lite Keyboard,21,1641.15
"Howard Miller 14-1/2"" Diameter Chrome Round Wall Clock",29,1636.8639999999998
"Carina 42""Hx23 3/4""W Media Storage Unit",22,1635.7960000000003
Motorola Moto X,6,1631.952
"Deflect-o RollaMat Studded, Beveled Mat for Medium Pile Carpeting",26,1623.2480000000003
Panasonic KX MC6040 Color Laser Multifunction Printer,5,1619.82
Plantronics Audio 478 Stereo USB Headset,34,1619.6760000000002
"Hunt PowerHouse Electric Pencil Sharpener, Blue",44,1617.9479999999999
Logitech G600 MMO Gaming Mouse,21,1615.798
AT&T 841000 Phone,28,1614.6
"Iceberg Nesting Folding Chair, 19w x 6d x 43h",31,1589.406
AT&T 1080 Phone,13,1589.0840000000003
Mophie Juice Pack Helium for iPhone,24,1583.8020000000001
Deflect-o Glass Clear Studded Chair Mats,26,1579.3719999999998
Microsoft Sculpt Comfort Mouse,42,1574.03
GBC ProClick Punch Binding System,31,1573.908
"Hon Metal Bookcases, Black",30,1570.0776000000003
Xerox 1919,40,1565.8180000000002
Cameo Buff Policy Envelopes,28,1555.75
Luxo Adjustable Task Clamp Lamp,18,1545.816
Avaya 5420 Digital phone,12,1538.8860000000002
Eureka Sanitaire  Commercial Upright,12,1524.5320000000002
Harbour Creations 67200 Series Stacking Chairs,24,1501.8980000000004
LG G2,5,1499.9699999999998
Microsoft Natural Keyboard Elite,29,1497.0
Sony Micro Vault Click 16 GB USB 2.0 Flash Drive,29,1489.334
Hon 4-Shelf Metal Bookcases,22,1474.3080000000002
"Bush Westfield Collection Bookcases, Fully Assembled",18,1473.2982000000002
Kensington 7 Outlet MasterPiece Power Center with Fax/Phone Line Protection,8,1473.108
"Tenex ""The Solids"" Textured Chair Mats",26,1469.1599999999999
"Plantronics CS 50-USB - headset - Convertible, Monaural",13,1468.6920000000002
"Mini 13-1/2 Capacity Data Binder Rack, Pearl",12,1465.744
"Global Leather Task Chair, Black",19,1448.839
"SAFCO Commercial Wire Shelving, 72h",24,1445.2640000000001
Nokia Lumia 1020,4,1439.968
"Leather Task Chair, Black",19,1437.4840000000002
"Bush Andora Conference Table, Maple/Graphite Gray Finish",12,1436.2319999999997
Xerox 1893,39,1434.6500000000003
Eldon Antistatic Chair Mats for Low to Medium Pile Carpets,14,1431.944
"Sauder Facets Collection Library, Sky Alder Finish",10,1427.683
"Bush Westfield Collection Bookcases, Medium Cherry Finish",32,1426.8878000000002
Fellowes Bankers Box Stor/Drawer Steel Plus,50,1426.3080000000004
Global Deluxe Office Fabric Chairs,17,1420.5040000000001
Logitech Wireless Marathon Mouse M705,30,1409.718
Logitech 910-002974 M325 Wireless Mouse for Web Scrolling,52,1409.5300000000002
"Belkin 19"" Vented Equipment Shelf, Black",31,1400.2559999999999
Logitech G500s Laser Gaming Mouse with Adjustable Weight Tuning,21,1399.8
"Global Armless Task Chair, Royal Blue",28,1396.4419999999998
Hewlett-Packard Deskjet 6540 Color Inkjet Printer,6,1396.21
Avaya IP Phone 1140E VoIP phone,5,1394.95
Cisco CP-7937G Unified IP Conference Station Phone,4,1391.4
Cisco IP Phone 7961G VoIP phone - Dark gray,12,1386.6899999999998
Samsung Rugby III,24,1385.79
"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",26,1383.081
Cisco SPA525G2 5-Line IP Phone,8,1379.92
"Belkin 325VA UPS Surge Protector, 6'",13,1379.172
Sauder Camden County Collection Library,16,1368.262
Safco Industrial Wire Shelving,16,1363.058
Ames Color-File Green Diamond Border X-ray Mailers,18,1360.476
Airmail Envelopes,19,1359.6660000000002
Plantronics Voyager Pro Legend,8,1359.534
DYMO CardScan Personal V9 Business Card Scanner,11,1343.9160000000002
Novimex Turbo Task Chair,22,1341.522
Apple iPhone 5C,15,1339.866
AT&T 17929 Lendline Telephone,35,1339.104
Luxo Professional Combination Clamp-On Lamps,13,1329.8999999999999
"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",31,1324.8000000000002
"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""",24,1322.1699999999998
Xerox 1891,30,1320.57
"Hon Metal Bookcases, Putty",19,1320.228
Honeywell Enviracaire Portable HEPA Air Cleaner for up to 10 x 16 Room,12,1320.1660000000002
Avery Arch Ring Binders,40,1318.8700000000001
Office Star - Ergonomically Designed Knee Chair,19,1311.8760000000002
Nokia Lumia 925,11,1310.2959999999998
Eldon Cleatmat Plus Chair Mats for High Pile Carpets,20,1304.128
"Hon 30"" x 60"" Table with Locking Drawer",6,1296.028
GBC Recycled Regency Composition Covers,26,1291.248
Fellowes Recycled Storage Drawers,12,1287.9480000000003
Star Micronics TSP800 TSP847IIU Receipt Printer,4,1286.85
Panasonic KX TS208W Corded phone,32,1283.538
Tennsco Industrial Shelving,29,1281.442
White Computer Printout Paper by Universal,37,1279.08
Luxo Professional Magnifying Clamp-On Fluorescent Lamps,13,1268.922
"Hon Deluxe Fabric Upholstered Stacking Chairs, Squared Back",7,1268.696
Tyvek Side-Opening Peel & Seel Expanding Envelopes,14,1266.72
Bush Somerset Collection Bookcase,12,1263.9569999999999
Panasonic KX T7736-B Digital phone,10,1259.58
Logitech G430 Surround Sound Gaming Headset with Dolby 7.1 Technology,17,1247.844
Tripp Lite Isotel 6 Outlet Surge Protector with Fax/Modem Protection,27,1243.788
Hon Valutask Swivel Chairs,13,1242.054
"SAFCO Mobile Desk Side File, Wire Frame",31,1240.04
